date,JavaScript,Java,Python,C++,C#,PHP,Swift,Go,Kotlin,Ruby
01-01-2010,96,96,21,81,89,94,34,17,1,41
01-02-2010,96,97,22,78,90,94,36,16,1,48
01-03-2010,100,100,22,80,100,100,29,17,1,43
01-04-2010,96,98,21,78,100,100,27,16,1,45
01-05-2010,92,97,23,75,98,94,26,16,1,43
01-06-2010,91,95,21,78,98,92,25,15,1,48
01-07-2010,83,87,21,72,86,86,24,17,1,45
01-08-2010,82,88,20,76,87,85,30,17,1,43
01-09-2010,78,93,21,80,89,81,33,16,1,42
01-10-2010,79,91,21,79,85,81,42,18,1,44
01-11-2010,76,88,21,81,86,83,44,17,1,48
01-12-2010,76,84,21,82,79,76,38,18,1,41
01-01-2011,78,86,21,82,72,84,37,18,1,55
01-02-2011,82,92,22,81,79,81,32,19,1,54
01-03-2011,83,91,22,84,87,84,27,18,1,48
01-04-2011,81,90,22,83,85,84,29,19,1,48
01-05-2011,78,88,22,81,81,78,27,19,1,44
01-06-2011,80,86,22,83,79,82,29,20,1,42
01-07-2011,74,82,21,82,76,80,29,19,1,42
01-08-2011,76,87,21,81,73,76,33,20,1,41
01-09-2011,77,90,21,89,74,74,28,19,1,39
01-10-2011,72,91,21,90,78,78,27,19,1,39
01-11-2011,72,95,22,90,82,80,31,19,1,40
01-12-2011,70,82,21,86,82,70,30,20,1,40
01-01-2012,71,82,21,85,85,69,27,20,1,38
01-02-2012,74,85,23,85,84,77,33,20,2,42
01-03-2012,78,82,22,85,86,74,29,20,1,43
01-04-2012,72,86,22,84,84,69,29,20,1,43
01-05-2012,75,84,21,81,86,71,25,20,1,39
01-06-2012,74,84,23,89,91,67,26,20,1,43
01-07-2012,75,84,22,77,88,71,26,20,1,47
01-08-2012,72,88,22,77,81,69,34,21,1,45
01-09-2012,72,92,24,81,86,67,39,21,2,45
01-10-2012,72,90,24,83,88,70,51,20,1,47
01-11-2012,67,85,24,82,89,65,47,20,1,45
01-12-2012,63,80,21,78,75,58,53,20,1,43
01-01-2013,66,93,23,75,79,61,50,20,1,42
01-02-2013,71,93,24,78,83,62,45,21,1,44
01-03-2013,70,95,24,81,83,66,45,21,1,45
01-04-2013,69,90,24,78,84,65,38,21,1,43
01-05-2013,68,90,24,79,85,64,37,22,1,44
01-06-2013,68,85,24,74,80,61,38,21,1,43
01-07-2013,69,84,24,78,83,60,36,20,1,45
01-08-2013,65,83,26,76,79,59,37,22,1,44
01-09-2013,69,85,24,79,80,61,30,20,1,41
01-10-2013,69,92,26,82,75,62,27,20,1,44
01-11-2013,67,88,30,84,83,60,30,21,1,47
01-12-2013,64,81,26,78,72,56,32,23,1,41
01-01-2014,66,93,25,80,79,59,31,23,1,41
01-02-2014,70,94,26,84,86,61,29,24,1,43
01-03-2014,72,89,28,79,83,60,28,25,1,42
01-04-2014,68,91,26,79,85,57,25,25,1,41
01-05-2014,68,86,27,84,82,58,26,24,1,50
01-06-2014,66,83,25,84,80,57,29,24,1,50
01-07-2014,67,80,27,83,80,56,25,24,1,46
01-08-2014,66,83,26,79,78,54,39,24,1,43
01-09-2014,64,85,28,82,81,58,34,23,1,42
01-10-2014,67,88,29,82,83,54,45,24,1,46
01-11-2014,65,86,29,81,80,55,63,24,1,61
01-12-2014,60,78,26,82,72,51,58,26,1,75
01-01-2015,62,78,27,81,73,52,52,25,1,56
01-02-2015,66,82,29,82,79,56,53,24,2,55
01-03-2015,68,80,30,83,83,56,45,23,2,51
01-04-2015,68,81,30,79,83,57,44,24,2,51
01-05-2015,64,77,29,82,75,53,56,24,2,45
01-06-2015,66,72,29,81,82,54,49,23,2,100
01-07-2015,67,75,29,78,79,52,48,24,2,68
01-08-2015,62,68,29,79,72,52,44,25,2,55
01-09-2015,63,72,32,83,76,53,45,25,2,50
01-10-2015,70,73,33,83,77,52,44,24,3,53
01-11-2015,63,67,33,83,75,51,36,23,4,43
01-12-2015,61,60,31,84,72,50,39,25,4,49
01-01-2016,60,58,33,81,73,52,35,24,4,50
01-02-2016,72,64,38,77,83,57,43,23,6,51
01-03-2016,66,63,38,78,81,55,33,23,5,51
01-04-2016,64,62,36,80,81,54,34,23,5,47
01-05-2016,67,61,37,80,86,59,31,24,5,50
01-06-2016,67,60,38,85,80,57,44,23,6,52
01-07-2016,60,55,35,76,74,50,50,100,5,59
01-08-2016,60,52,35,76,74,49,31,62,5,57
01-09-2016,64,59,41,84,79,54,31,38,6,47
01-10-2016,61,58,41,82,76,52,30,32,6,45
01-11-2016,68,58,44,83,78,56,29,29,7,46
01-12-2016,62,51,39,80,73,51,30,29,7,54
01-01-2017,63,55,42,79,75,53,29,27,8,50
01-02-2017,71,57,48,82,78,57,30,27,8,52
01-03-2017,74,58,48,82,89,57,28,27,10,48
01-04-2017,72,53,48,82,76,54,26,26,10,46
01-05-2017,65,58,48,75,80,52,28,25,44,43
01-06-2017,68,51,47,81,76,50,28,25,32,45
01-07-2017,63,49,45,80,70,49,26,28,27,46
01-08-2017,63,50,47,78,70,47,50,28,28,45
01-09-2017,61,49,51,89,74,48,38,26,27,41
01-10-2017,67,50,53,84,75,47,33,24,33,44
01-11-2017,64,52,53,83,78,52,42,23,38,43
01-12-2017,58,47,48,81,69,46,37,25,33,46
01-01-2018,62,50,51,80,68,48,31,24,35,44
01-02-2018,66,49,53,81,73,53,28,26,38,47
01-03-2018,65,48,56,83,75,48,30,24,42,43
01-04-2018,63,48,56,81,72,45,28,25,40,42
01-05-2018,62,46,55,81,71,48,32,24,45,43
01-06-2018,58,45,59,83,69,44,29,24,43,40
01-07-2018,60,45,54,77,64,41,30,26,45,45
01-08-2018,58,44,52,77,67,43,28,26,46,50
01-09-2018,56,46,58,85,65,42,27,26,45,43
01-10-2018,57,47,64,80,73,43,29,26,51,41
01-11-2018,58,47,63,84,66,42,25,27,51,43
01-12-2018,49,40,52,78,53,39,25,26,43,41
01-01-2019,53,41,57,80,61,41,27,25,47,42
01-02-2019,59,44,62,84,66,43,25,24,50,46
01-03-2019,58,43,63,87,64,41,24,24,52,42
01-04-2019,55,42,63,79,63,41,28,24,57,41
01-05-2019,56,43,64,82,62,41,28,25,60,40
01-06-2019,56,41,62,82,63,41,30,24,58,41
01-07-2019,58,42,64,81,65,43,30,26,65,40
01-08-2019,53,41,62,80,57,41,35,26,63,40
01-09-2019,57,46,72,86,63,40,30,23,66,40
01-10-2019,56,44,69,84,65,41,27,24,64,41
01-11-2019,58,41,72,84,65,41,29,24,64,38
01-12-2019,47,37,62,81,56,37,28,23,59,38
01-01-2020,52,38,69,83,57,38,26,24,60,42
01-02-2020,56,41,72,86,62,39,30,24,65,43
01-03-2020,50,37,68,93,57,37,23,26,61,39
01-04-2020,52,38,72,87,54,34,22,26,64,43
01-05-2020,51,36,69,89,50,34,23,26,62,45
01-06-2020,53,36,68,83,56,35,24,25,63,44
01-07-2020,54,36,68,84,54,37,34,27,66,42
01-08-2020,49,35,66,84,50,35,31,27,63,40
01-09-2020,51,35,70,93,54,33,27,26,65,36
01-10-2020,41,34,59,92,47,27,24,24,46,38
01-11-2020,40,31,54,88,44,27,24,23,43,34
01-12-2020,37,30,52,86,41,28,31,25,45,36
01-01-2021,38,31,53,85,41,30,25,24,43,36
01-02-2021,39,35,58,90,46,29,26,24,46,34
01-03-2021,40,34,61,87,46,30,27,24,48,33
01-04-2021,39,33,59,87,45,29,26,22,51,34
01-05-2021,41,32,58,84,43,28,24,23,48,35
01-06-2021,41,32,59,84,46,29,23,24,50,32
01-07-2021,40,30,55,84,44,42,24,25,48,36
01-08-2021,39,30,54,93,41,45,26,24,50,35
01-09-2021,41,33,62,95,46,44,24,23,52,36
01-10-2021,41,34,66,87,47,43,23,25,52,39
01-11-2021,42,34,68,91,48,44,41,24,52,34
01-12-2021,43,34,64,85,44,42,28,24,55,34
01-01-2022,56,40,80,86,54,53,28,25,74,36
01-02-2022,62,45,92,100,61,64,46,25,87,36
01-03-2022,68,47,96,98,68,56,29,24,95,41
01-04-2022,69,45,100,96,62,51,30,26,100,39
01-05-2022,66,44,91,96,57,47,28,24,93,37
01-06-2022,72,42,89,94,59,48,26,25,96,37
01-07-2022,62,42,86,93,54,45,28,25,92,36
01-08-2022,62,40,83,89,53,42,30,26,90,37
01-09-2022,64,45,97,98,56,45,30,24,94,35
01-10-2022,61,40,92,90,56,42,42,23,91,34
01-11-2022,62,43,99,96,54,42,52,23,94,35
01-12-2022,58,39,88,92,50,41,32,23,91,35
01-01-2023,59,38,92,88,54,41,32,23,88,35
01-02-2023,64,41,97,96,57,43,33,25,96,40
01-03-2023,60,40,91,91,56,41,40,23,97,37
01-04-2023,54,36,84,86,47,40,49,22,82,36
01-05-2023,52,35,80,90,45,39,54,22,85,35
01-06-2023,51,36,80,89,47,42,65,22,81,36
01-07-2023,50,36,76,87,46,41,69,24,86,45
01-08-2023,51,35,78,92,47,41,65,25,87,38
01-09-2023,48,36,82,90,49,38,73,24,87,46
01-10-2023,46,37,85,94,48,37,76,23,83,39
01-11-2023,45,33,78,97,45,40,76,22,83,35
01-12-2023,41,32,74,90,41,37,64,22,75,40
01-01-2024,42,33,79,92,46,39,64,24,80,36
01-02-2024,49,38,89,94,52,42,100,25,93,44
01-03-2024,46,37,85,90,49,41,61,25,90,48
01-04-2024,43,34,83,88,44,40,71,24,86,38
01-05-2024,43,34,83,89,44,39,61,24,87,39
01-06-2024,42,33,76,89,41,38,60,24,82,40
01-07-2024,42,34,75,91,41,36,55,25,88,39
01-08-2024,38,33,73,91,38,37,58,25,80,37
01-09-2024,38,32,75,97,39,37,50,24,76,36
01-10-2024,35,32,78,96,39,36,45,24,78,34
01-11-2024,33,30,75,95,36,38,48,27,73,34
01-12-2024,30,28,67,95,34,38,45,24,67,38
01-01-2025,32,28,69,98,32,37,37,25,65,37
